name,Wikidata_QID,,,,,,,,,,,,
Taylor Swift,Q26876,,,,,,,,,,,,
Lady Gaga,Q19848,,,,,,,,,,,,
Billie Eilish,Q29564107,,,,,,,,,,,,
Ariana Grande,Q151892,,,,,,,,,,,,
Arijit Singh,Q4790608,,,,,,,,,,,,
Rauw Alejandro,Q61586861,,,,,,,,,,,,
Ed Sheeran,Q47447,,,,,,,,,,,,
Anuel AA,Q26690130,,,,,,,,,,,,
Lil Wayne,Q15615,,,,,,,,,,,,
Arctic Monkeys,Q170599,,,,,,,,,,,,
Gracie Abrams,Q106301562,,,,,,,,,,,,
Adele,Q23215,,,,,,,,,,,,
Alex Warren,Q121842162,,,,,,,,,,,,
Gunna,Q55613105,,,,,,,,,,,,
Young Thug,Q15637814,,,,,,,,,,,,
XXXTENTACION,Q28561969,,,,,,,,,,,,
A$AP Rocky,Q129910,,,,,,,,,,,,
Cigarettes After Sex,Q25349372,,,,,,,,,,,,
Romeo Santos,Q2570042,,,,,,,,,,,,
Michael Jackson,Q2831,,,,,,,,,,,,
AC/DC,Q27593,,,,,,,,,,,,
Avicii,Q505476,,,,,,,,,,,,
Akon,Q32849,,,,,,,,,,,,
Halsey,Q18534249,,,,,,,,,,,,
Arcángel,Q638331,,,,,,,,,,,,
Anirudh Ravichander,Q4765271,,,,,,,,,,,,
USHER,Q165911,,,,,,,,,,,,
Chase Atlantic,Q46537070,,,,,,,,,,,,
Sean Paul,Q200577,,,,,,,,,,,,
System Of A Down,Q45165,,,,,,,,,,,,
Metallica,Q15920,,,,,,,,,,,,
ABBA,Q18233,,,,,,,,,,,,
Ne-Yo,Q193710,,,,,,,,,,,,
Alka Yagnik,Q466826,,,,,,,,,,,,
La Arrolladora Banda El Limón De Rene Camacho,Q3373508,,,,,,,,,,,,
James Arthur,Q717626,,,,,,,,,,,,
Bob Marley & The Wailers,Q2525354,,,,,,,,,,,,
Mrs. GREEN APPLE,Q22129461,,,,,,,,,,,,
Anitta,Q13476301,,,,,,,,,,,,
Alan Walker,Q21808729,,,,,,,,,,,,
Ellie Goulding,Q31164,,,,,,,,,,,,
Alemán,Q59563305,,,,,,,,,,,,
A.R. Rahman,Q108560,,,,,,,,,,,,
Guns N' Roses,Q11895,,,,,,,,,,,,
2Pac,Q6107,,,,,,,,,,,,
Aventura,Q782889,,,,,,,,,,,,
Atif Aslam,Q755830,,,,,,,,,,,,
Sech,Q63285288,,,,,,,,,,,,
Karan Aujla,Q58008320,,,,,,,,,,,,
Vishal-Shekhar,Q3135937,,,,,,,,,,,,
Alicia Keys,Q121507,,,,,,,,,,,,
Ava Max,Q56755505,,,,,,,,,,,,
Christina Aguilera,Q41594,,,,,,,,,,,,
Alejandro Sanz,Q276170,,,,,,,,,,,,
Ludovico Einaudi,Q83182,,,,,,,,,,,,
Alfredo Olivas,Q20714558,,,,,,,,,,,,
Gusttavo Lima,Q380821,,,,,,,,,,,,
Florence + The Machine,Q217360,,,,,,,,,,,,
Marc Anthony,Q26625,,,,,,,,,,,,
Jhené Aiko,Q15929781,,,,,,,,,,,,
Imogen Heap,Q230484,,,,,,,,,,,,
Eslabon Armado,Q112702265,,,,,,,,,,,,
Ana Castela,Q114279907,,,,,,,,,,,,
Amy Winehouse,Q15897,,,,,,,,,,,,
Alok,Q28007321,,,,,,,,,,,,
Avril Lavigne,Q30449,,,,,,,,,,,,
Anne-Marie,Q25396976,,,,,,,,,,,,
aespa,Q100877982,,,,,,,,,,,,
Jason Derulo,Q243639,,,,,,,,,,,,
El Alfa,Q58257004,,,,,,,,,,,,
A Boogie Wit da Hoodie,Q27927826,,,,,,,,,,,,
Elvis Presley,Q303,,,,,,,,,,,,
Los Ángeles Azules,Q5981294,,,,,,,,,,,,
Avenged Sevenfold,Q165193,,,,,,,,,,,,
Alice In Chains,Q484255,,,,,,,,,,,,
Johann Sebastian Bach,Q1339,,,,,,,,,,,,
Aerosmith,Q126826,,,,,,,,,,,,
Anderson .Paak,Q20810369,,,,,,,,,,,,
Artemas,Q125176874,,,,,,,,,,,,
Ado,Q104012678,,,,,,,,,,,,
Alvaro Diaz,Q115016995,,,,,,,,,,,,
Alejandro Fernández,Q553528,,,,,,,,,,,,
Bryan Adams,Q482907,,,,,,,,,,,,
Zion & Lennox,Q205352,,,,,,,,,,,,
Panic! At The Disco,Q277551,,,,,,,,,,,,
Bruce Springsteen,Q1225,,,,,,,,,,,,
Frank Sinatra,Q40912,,,,,,,,,,,,
Jason Aldean,Q195439,,,,,,,,,,,,
2 Chainz,Q129668,,,,,,,,,,,,
Lata Mangeshkar,Q156347,,,,,,,,,,,,
AURORA,Q19329827,,,,,,,,,,,,
Armin van Buuren,Q62617,,,,,,,,,,,,
Ayra Starr,Q106462586,,,,,,,,,,,,
Wolfgang Amadeus Mozart,Q254,,,,,,,,,,,,
Alex G,Q20709155,,,,,,,,,,,,
Outkast,Q472595,,,,,,,,,,,,
Ati242,Q133254885,,,,,,,,,,,,
Nelly,Q218992,,,,,,,,,,,,
Fred again..,Q64009886,,,,,,,,,,,,
Jack Johnson,Q297097,,,,,,,,,,,,
Mumford & Sons,Q953918,,,,,,,,,,,,
Glass Animals,Q16839267,,,,,,,,,,,,
Ricardo Arjona,Q719841,,,,,,,,,,,,
Ha*Ash,Q5494459,,,,,,,,,,,,
Adam Port,Q131317897,,,,,,,,,,,,
Aitana,Q50822527,,,,,,,,,,,,
Alesso,Q965455,,,,,,,,,,,,
RM,Q20514446,,,,,,,,,,,,
AFROJACK,Q349041,,,,,,,,,,,,
Asake,Q112861798,,,,,,,,,,,,
Adrianne Lenker,Q64875564,,,,,,,,,,,,
AP Dhillon,Q99469239,,,,,,,,,,,,
Artie 5ive,Q130243671,,,,,,,,,,,,
Hariharan,Q2051231,,,,,,,,,,,,
Ice Cube,Q173637,,,,,,,,,,,,
Amit Trivedi,Q4746891,,,,,,,,,,,,
"Earth, Wind & Fire",Q28974,,,,,,,,,,,,
W&W,Q1891477,,,,,,,,,,,,
will.i.am,Q185610,,,,,,,,,,,,
MARINA,Q234174,,,,,,,,,,,,
Daryl Hall & John Oates,Q733182,,,,,,,,,,,,
Addison Rae,Q83739405,,,,,,,,,,,,
Alessia Cara,Q20090091,,,,,,,,,,,,
ATEEZ,Q59793088,,,,,,,,,,,,
Alec Benjamin,Q19560068,,,,,,,,,,,,
Agust D,Q21075020,,,,,,,,,,,,
R.E.M.,Q134969,,,,,,,,,,,,
Alan Jackson,Q380927,,,,,,,,,,,,
Frédéric Chopin,Q1268,,,,,,,,,,,,
Ana Gabriel,Q3898000,,,,,,,,,,,,
Anuv Jain,Q109341172,,,,,,,,,,,,
IVE,Q109375061,,,,,,,,,,,,
Pablo Alborán,Q737387,,,,,,,,,,,,
Dimitri Vegas & Like Mike,Q5807252,,,,,,,,,,,,
ANAVITÓRIA,Q28677777,,,,,,,,,,,,
a-ha,Q156305,,,,,,,,,,,,
Alphaville,Q153926,,,,,,,,,,,,
Adam Levine,Q219631,,,,,,,,,,,,
Ashanti,Q161877,,,,,,,,,,,,
Iron Maiden,Q42482,,,,,,,,,,,,
Armaan Malik,Q4792489,,,,,,,,,,,,
ILLIT,Q122179261,,,,,,,,,,,,
Van Morrison,Q272203,,,,,,,,,,,,
Eric Clapton,Q48187,,,,,,,,,,,,
Anyma,Q99678050,,,,,,,,,,,,
Arash,Q236748,,,,,,,,,,,,
Audioslave,Q486830,,,,,,,,,,,,
Ayesha Erotica,Q123092357,,,,,,,,,,,,
Air Supply,Q407814,,,,,,,,,,,,
AJR,Q16154058,,,,,,,,,,,,
Avery Anna,Q131401753,,,,,,,,,,,,
Andrés Calamaro,Q523995,,,,,,,,,,,,
Aditya Rikhari,Q131412581,,,,,,,,,,,,
AYLIVA,Q106441078,,,,,,,,,,,,
Amaal Mallik,Q18921323,,,,,,,,,,,,
Ezhel,Q50388016,,,,,,,,,,,,
Asha Bhosle,Q38393,,,,,,,,,,,,
i-dle,Q51885404,,,,,,,,,,,,
Mark Ambor,Q123899629,,,,,,,,,,,,
Rage Against The Machine,Q72092,,,,,,,,,,,,
Steve Aoki,Q459955,,,,,,,,,,,,
Prince,Q7542,,,,,,,,,,,,
Gregory Alan Isakov,Q3266712,,,,,,,,,,,,
Rise Against,Q246352,,,,,,,,,,,,
The Alchemist,Q704757,,,,,,,,,,,,
Andrea Bocelli,Q42402,,,,,,,,,,,,
Annie Lennox,Q151231,,,,,,,,,,,,
Antonio Vivaldi,Q1340,,,,,,,,,,,,
Aya Nakamura,Q37793136,,,,,,,,,,,,
A$AP Ferg,Q15648254,,,,,,,,,,,,
Ashnikko,Q76314844,,,,,,,,,,,,
A Day To Remember,Q300386,,,,,,,,,,,,
Alex Rose,Q121036457,,,,,,,,,,,,
Eros Ramazzotti,Q153708,,,,,,,,,,,,
Apache 207,Q66725900,,,,,,,,,,,,
Neil Young,Q633,,,,,,,,,,,,
Sujatha,Q2048352,,,,,,,,,,,,
Aimyon,Q20038377,,,,,,,,,,,,
Gabriela Rocha,Q10287934,,,,,,,,,,,,
X Ambassadors,Q15963313,,,,,,,,,,,,
Simon & Garfunkel,Q484918,,,,,,,,,,,,
Chase & Status,Q1067983,,,,,,,,,,,,
alt-J,Q47996,,,,,,,,,,,,
Alanis Morissette,Q130742,,,,,,,,,,,,
Aretha Franklin,Q125121,,,,,,,,,,,,
Louis Armstrong,Q1779,,,,,,,,,,,,
Ace of Base,Q151634,,,,,,,,,,,,
Andy Grammer,Q4299814,,,,,,,,,,,,
All Time Low,Q909731,,,,,,,,,,,,
Auli'i Cravalho,Q24455611,,,,,,,,,,,,
Achille Lauro,Q21208625,,,,,,,,,,,,
Amr Diab,Q477461,,,,,,,,,,,,
Alejandra Guzman,Q470152,,,,,,,,,,,,
Massive Attack,Q357418,,,,,,,,,,,,
Red Velvet,Q17466114,,,,,,,,,,,,
Estopa,Q773703,,,,,,,,,,,,
IU,Q20145,,,,,,,,,,,,
Kool & The Gang,Q850290,,,,,,,,,,,,
Villano Antillano,Q112323640,,,,,,,,,,,,
Lily Allen,Q58735,,,,,,,,,,,,
Iggy Azalea,Q2748803,,,,,,,,,,,,
Architects,Q620454,,,,,,,,,,,,
Antônio Carlos Jobim,Q200131,,,,,,,,,,,,
Axwell,Q20713,,,,,,,,,,,,
Claude Debussy,Q4700,,,,,,,,,,,,
AJ Tracey,Q24572559,,,,,,,,,,,,
Alonzo,Q4734521,,,,,,,,,,,,
Anthony Ramos,Q20973952,,,,,,,,,,,,
Erykah Badu,Q223875,,,,,,,,,,,,
The All-American Rejects,Q214237,,,,,,,,,,,,
Ángela Aguilar,Q56162397,,,,,,,,,,,,
Earl Sweatshirt,Q1033188,,,,,,,,,,,,
Azet,Q38669425,,,,,,,,,,,,
I Prevail,Q19286002,,,,,,,,,,,,
Owl City,Q207938,,,,,,,,,,,,
Rag'n'Bone Man,Q26834366,,,,,,,,,,,,
Dave Stewart,Q325389,,,,,,,,,,,,
Men At Work,Q831111,,,,,,,,,,,,
Snoh Aalegra,Q4970416,,,,,,,,,,,,
Tones And I,Q62887629,,,,,,,,,,,,
Amanda Seyfried,Q189226,,,,,,,,,,,,
Aminé,Q27830860,,,,,,,,,,,,
A Tribe Called Quest,Q300602,,,,,,,,,,,,
Ashe,Q55604295,,,,,,,,,,,,
Anahí,Q169461,,,,,,,,,,,,
Alex Ubago,Q250607,,,,,,,,,,,,
The Outfield,Q2093178,,,,,,,,,,,,
Icona Pop,Q808703,,,,,,,,,,,,
Iyaz,Q317101,,,,,,,,,,,,
Boyce Avenue,Q895897,,,,,,,,,,,,
Ahmet Kaya,Q401893,,,,,,,,,,,,
R. Kelly,Q273055,,,,,,,,,,,,
Neil Diamond,Q294531,,,,,,,,,,,,
RBD,Q211528,,,,,,,,,,,,
Sleeping At Last,Q2294036,,,,,,,,,,,,
Ray Charles,Q544387,,,,,,,,,,,,
Arcade Fire,Q58608,,,,,,,,,,,,
André 3000,Q448837,,,,,,,,,,,,
Academy of St. Martin in the Fields,Q337362,,,,,,,,,,,,
Al Green,Q313260,,,,,,,,,,,,
Ari Abdul,Q120760126,,,,,,,,,,,,
Ali Gatie,Q65962050,,,,,,,,,,,,
AXMO,Q105799822,,,,,,,,,,,,
Aaliyah,Q11617,,,,,,,,,,,,
AnnenMayKantereit,Q19259451,,,,,,,,,,,,
Alexis y Fido,Q622326,,,,,,,,,,,,
Ella Fitzgerald,Q1768,,,,,,,,,,,,
Abel Pintos,Q5654923,,,,,,,,,,,,
Alex Zurdo,Q5666084,,,,,,,,,,,,
Los Auténticos Decadentes,Q921251,,,,,,,,,,,,
Anuradha Sriram,Q3525389,,,,,,,,,,,,
ARASHI,Q626440,,,,,,,,,,,,
Jordan Adetunji,Q126963177,,,,,,,,,,,,
Armandinho,Q5858709,,,,,,,,,,,,
ARTBAT,Q114036382,,,,,,,,,,,,
A7S,Q98640237,,,,,,,,,,,,
Axwell /\ Ingrosso,Q18148701,,,,,,,,,,,,
Angus & Julia Stone,Q544322,,,,,,,,,,,,
VINAI,Q16644989,,,,,,,,,,,,
Anna of the North,Q30325398,,,,,,,,,,,,
Amaarae,Q72516952,,,,,,,,,,,,
Erik Satie,Q187192,,,,,,,,,,,,
Aphex Twin,Q223161,,,,,,,,,,,,
American Authors,Q15044381,,,,,,,,,,,,
The Animals,Q131422,,,,,,,,,,,,
Aqua,Q213388,,,,,,,,,,,,
Ana Mena,Q28933211,,,,,,,,,,,,
Asking Alexandria,Q731642,,,,,,,,,,,,
Angèle,Q45192617,,,,,,,,,,,,
Astrid S,Q17107619,,,,,,,,,,,,
Andy Rivera,Q18669959,,,,,,,,,,,,
Amenazzy,Q77839394,,,,,,,,,,,,
Andrés Cepeda,Q4760167,,,,,,,,,,,,
Gilberto Gil,Q221479,,,,,,,,,,,,
Ana Bárbara,Q4750330,,,,,,,,,,,,
Xzibit,Q189078,,,,,,,,,,,,
Anu Malik,Q612167,,,,,,,,,,,,
AK AUSSERKONTROLLE,Q24246455,,,,,,,,,,,,
Alabama,Q2140332,,,,,,,,,,,,
Aleyna Tilki,Q27950774,,,,,,,,,,,,
Felipe Araújo,Q59572129,,,,,,,,,,,,
Ajay-Atul,Q4699622,,,,,,,,,,,,
REO Speedwagon,Q845084,,,,,,,,,,,,
Air,Q318452,,,,,,,,,,,,
Aline Barros,Q968857,,,,,,,,,,,,
ATB,Q77002,,,,,,,,,,,,
André Rieu,Q159832,,,,,,,,,,,,
Charles Aznavour,Q1785,,,,,,,,,,,,
Sir Neville Marriner,Q318636,,,,,,,,,,,,
Aloe Blacc,Q49319,,,,,,,,,,,,
Abraham Mateo,Q330316,,,,,,,,,,,,
Amy Macdonald,Q15902,,,,,,,,,,,,
Andrew Lloyd Webber,Q180975,,,,,,,,,,,,
Armand Van Helden,Q437559,,,,,,,,,,,,
Anna Kendrick,Q67701,,,,,,,,,,,,
Amrinder Gill,Q4748646,,,,,,,,,,,,
Claudio Abbado,Q151608,,,,,,,,,,,,
Alfa,Q96621463,,,,,,,,,,,,
Aimer,Q4697155,,,,,,,,,,,,
José González,Q315107,,,,,,,,,,,,
Angela Leiva,Q19913438,,,,,,,,,,,,
Aleks Syntek,Q2832483,,,,,,,,,,,,
Alex Campos,Q4716790,,,,,,,,,,,,
Alligatoah,Q1731236,,,,,,,,,,,,
Cristiano Araújo,Q10261631,,,,,,,,,,,,
Artigeardit,Q85950750,,,,,,,,,,,,
Alceu Valença,Q560788,,,,,,,,,,,,
A Perfect Circle,Q300519,,,,,,,,,,,,
André Previn,Q155712,,,,,,,,,,,,
The Alan Parsons Project,Q533478,,,,,,,,,,,,
Alice Deejay,Q1543955,,,,,,,,,,,,
A-Trak,Q277976,,,,,,,,,,,,
Azealia Banks,Q271385,,,,,,,,,,,,
Alexandra Stan,Q1453,,,,,,,,,,,,
Alice Cooper,Q332032,,,,,,,,,,,,
Anaïs Mitchell,Q1467912,,,,,,,,,,,,
Chico Buarque,Q333632,,,,,,,,,,,,
Annalisa,Q2850715,,,,,,,,,,,,
R. City,Q7201184,,,,,,,,,,,,
Eric Carmen,Q437551,,,,,,,,,,,,
Allman Brothers Band,Q507327,,,,,,,,,,,,
Arde Bogotá,Q117440368,,,,,,,,,,,,
Afsana Khan,Q104848703,,,,,,,,,,,,
Adamlar,Q31193374,,,,,,,,,,,,
Aastha Gill,Q21064202,,,,,,,,,,,,
Ólafur Arnalds,Q292972,,,,,,,,,,,,
Alcione,Q438512,,,,,,,,,,,,
Alex Wann,Q134269880,,,,,,,,,,,,
Anastacia,Q34584,,,,,,,,,,,,
Apocalyptica,Q484421,,,,,,,,,,,,
The Avener,Q18144072,,,,,,,,,,,,
A Touch Of Class,Q298794,,,,,,,,,,,,
Against The Current,Q12580731,,,,,,,,,,,,
Alexis Ffrench,Q43177877,,,,,,,,,,,,
Alexandre Desplat,Q313362,,,,,,,,,,,,
Action Bronson,Q2823641,,,,,,,,,,,,
AWOLNATION,Q66413,,,,,,,,,,,,
Alina Baraz,Q47009933,,,,,,,,,,,,
Au/Ra,Q56273134,,,,,,,,,,,,
Paul Anka,Q216563,,,,,,,,,,,,
Alle Farben,Q15263356,,,,,,,,,,,,
AlunaGeorge,Q10353,,,,,,,,,,,,
Akapellah,Q65062061,,,,,,,,,,,,
August Alsina,Q15277032,,,,,,,,,,,,
Autumn!,Q114913075,,,,,,,,,,,,
Irene Cara,Q234169,,,,,,,,,,,,
Iron & Wine,Q361881,,,,,,,,,,,,
Anne Wilson,Q108658888,,,,,,,,,,,,
Elissa,Q1118831,,,,,,,,,,,,
EARTHGANG,Q18206566,,,,,,,,,,,,
Los Angeles Negros,Q6683478,,,,,,,,,,,,
Adnan Sami,Q1250743,,,,,,,,,,,,
Alice Phoebe Lou,Q26710833,,,,,,,,,,,,
Simone & Simaria,Q27862781,,,,,,,,,,,,
Azzy,Q116741202,,,,,,,,,,,,
