Country Name,Wikidata QID,Population,Capital,Official Language,Continent
United Kingdom of Great Britain and Ireland,Q174193,16345646,London,English,Europe
Venezuela,Q717,28515829,Caracas,Spanish,South America
Argentina,Q414,47327407,Buenos Aires,Spanish,South America
Australia,Q408,26473055,Canberra,Australian English,Oceania
Armenia,Q399,2930450,Yerevan,Armenian,Asia
Iceland,Q189,364260,Reykjavík,Icelandic,Europe
Pakistan,Q843,223773700,Islamabad,English,Asia
Kingdom of Denmark,Q756617,5930987,Copenhagen,Greenlandic,Europe
Albania,Q222,2811655,Tirana,Albanian,Europe
Mexico,Q96,124777324,Mexico City,Yucatec Maya,North America
Romania,Q218,19053815,Bucharest,Romanian,Europe
India,Q668,1326093247,New Delhi,English,Asia
Spain,Q29,48592909,Madrid,Spanish,Europe
Saxe-Eisenach,Q696651,,Eisenach,,
Germany,Q183,84358845,Berlin,German,Europe
Prince-Archbishopric of Salzburg,Q701614,,,Latin,Europe
South Korea,Q884,51466201,Seoul,Korean Sign Language,Asia
Congress Poland,Q221457,10000000,Warsaw,Russian,Europe
Colombia,Q739,52321152,Bogotá,Spanish,South America
Italy,Q38,58850717,Rome,Italian,Europe
Canada,Q16,36991981,Ottawa,English,North America
Iraq,Q796,38274618,Baghdad,Kurdish,Asia
Benin,Q962,14111034,Porto-Novo,French,Africa
Lebanon,Q822,6100075,Beirut,Arabic,Asia
Turkey,Q43,85372377,Ankara,Turkish,Asia
Dominican Republic,Q786,10760028,Santo Domingo,Spanish,North America
Brazil,Q155,203062512,Brasília,Portuguese,South America
France,Q142,68373433,Paris,French,Europe
Belgium,Q31,11584008,City of Brussels,Dutch,Europe
Nigeria,Q1033,211400708,Abuja,English,Africa
Cyprus,Q229,1344976,Nicosia,Turkish,Europe
United Kingdom,Q145,67326569,London,English,Europe
Ireland,Q27,5149139,Dublin,Irish,Europe
Kingdom of the Netherlands,Q29999,17100715,Amsterdam,Dutch,Europe
Egypt,Q79,114535772,Cairo,Arabic,Africa
Japan,Q17,125440000,Tokyo,Japanese,Asia
Republic of Venice,Q4948,1500000,Malamocco,Venetian,Europe
South Africa,Q258,62027503,Cape Town,South African Sign Language,Africa
Sweden,Q34,10587696,Stockholm,Swedish,Europe
Iran,Q794,86758304,Tehran,Persian,Asia
Kingdom of Italy,Q172579,22182000,Turin,Italian,Europe
Jamaica,Q766,2697983,Kingston,Jamaican Patois,North America
United States,Q30,340110988,"Washington, D.C.",English,North America
Norway,Q20,5594340,Oslo,Sámi,Europe
