Country,Rate[per 1000],Vehicles,Year
 San Marino,"1,606","53,940",2024
 Guernsey (UK),"1,389","88,532",2022
 Gibraltar (UK),"1,293","48,641",2022
 Jersey (UK),"1,234","127,911",2023
 Andorra,"1,214","98,183",2023
 Liechtenstein,"1,068","42,579",2024
 Brunei,"1,043","475,000",2022
 Taiwan,959,"22,597,694",2021
 New Zealand,934,"4,794,156",2022
 United States,850,"283,400,986",2022
 Malta,823,"438,567",2023
 Luxembourg,818,"550,580",2024
 Isle of Man (UK),782,"65,830",2023
 Iceland,779,"306,563",2024
 Australia,776,"20,142,942",2021
 Guam (US),775,"125,455",2019
 Italy,753,"44,888,074",2022
 Finland,752,"4,221,852",2024
 Estonia,740,"998,852",2022
 Uruguay,738,"2,507,116",2020
 Portugal,691,"7,198,871",2022
 Malaysia,678,"23,822,322",2023
 Canada,677,"26,302,526",2022
 Poland,671,"25,757,062",2022
 France,671,"44,444,965",2022
 Japan,670,"82,876,295",2024
 Norway,629,"3,469,692",2023
 Czech Republic,664,"7,082,522",2022
 Bahamas,650,"260,000",2022
 Lithuania,643,"1,811,748",2022
 Spain,642,"30,724,166",2022
 Germany,627,"52,714,433",2022
 Thailand,625,"44,300,000",2024
 United Kingdom,603,"41,700,000",2024
  Switzerland,603,"5,301,789",2022
 Slovakia,603,"3,286,249",2019
 Belgium,599,"6,977,664",2022
 Antigua and Barbuda,598,"54,891",2020
 Trinidad and Tobago,582,"831,803",2015
 Slovenia,581,"1,228,051",2022
 Austria,569,"5,185,006",2023
 Netherlands,562,"10,062,194",2022
 Greece,555,"5,777,241",2022
 Cyprus,544,"724,925",2022
 Denmark,542,"3,222,575",2023
 Saint Kitts and Nevis,543,"25,374",2023
 Sweden,542,"5,682,251",2022
 Ireland,536,"2,737,924",2022
 Croatia,530,"2,070,123",2022
 Faroe Islands (Denmark),522,"28,562",2023
 Kuwait,521,"2,522,933",2023
 Costa Rica,514,"2,600,000",2021
 Dominican Republic,513,"5,810,888",2023
 Qatar,512,"1,330,487",2016
 South Korea,501,"25,949,201",2023
 Argentina,493,"21,633,587",2016
 Hungary,492,"4,763,466",2022
 Romania,477,"9,148,003",2022
 Bahrain,476,"747,350",2023
 Belarus,470,"4,280,031",2023
 Bulgaria,466,"3,006,215",2023
 Syria,466,"9,810,000",2020
 Latvia,463,"871,153",2022
 Libya,463,"3,260,000",2020
 Brazil,462,"93,867,016",2016
 Mexico,449,"58,199,293",2023
 Georgia,441,"1,680,400",2023
 Israel,439,"4,000,000",2022
 Barbados,425,"120,000",2022
 Nauru,424,"5,000",2022
 Laos,412,"3,116,550",2022
 Suriname,394,"241,391",2020
 Montenegro,393,"242,599",2023
 United Arab Emirates,376,"3,391,125",2016
 Sri Lanka,366,"8,352,213",2022
 Russia,364,"53,000,000",2023
 Serbia,360,"2,389,105",2023
 Turkey,354,"30,261,176",2023
 Macao (China),353,"251,867",2023
 Mongolia,347,"1,192,520",2023
 Moldova,323,"982,349",2020
 Oman,323,"1,704,873",2024
 Panama,320,"1,288,573",2016
 Chile,312,"6,100,000",2022
 China,310,"440,000,000",2024
 Albania,309,"867,765",2023
 Armenia,303,"900,692",2024
 Lebanon,295,"1,866,407",2016
 Botswana,292,"653,274",2016
 Bosnia and Herzegovina,282,"978,229",2016
 Colombia,280,"13,477,996",2017
 Dominica,271,"18,311",2020
 Kosovo,271,"460,105",2023
 North Macedonia,263,"483,482",2022
 Kazakhstan,250,"5,085,400",2023
 Maldives,250,"131,000",2022
 Liberia,248,"1,085,075",2012
 Ukraine,237,"10,500,000",2021
 Grenada,237,"27,266",2016
 Saudi Arabia,224,"6,895,799",2016
 Seychelles,210,"23,076",2016
 South Africa,208,"13,304,703",2024
 Saint Lucia,203,"35,681",2016
 Jamaica,203,"575,041",2022
 Kyrgyzstan,200,"1,300,000",2019
 Guatemala,200,"3,250,194",2016
 Belize,189,"56,094",2007
 Iran,182,"15,963,000",2020
 Peru,182,"5,604,789",2016
 Honduras,180,"1,694,504",2016
 Tunisia,175,"2,015,601",2016
 Algeria,176,"7,731,664",2020
 Jordan,173,"2,000,000",2024
 Singapore,172,"996,732",2023
 Guyana,171,"128,000",2010
 Azerbaijan,169,"1,738,940",2023
 S茫o Tom茅 and Pr铆ncipe,165,"34,050",2017
 El Salvador,163,"1,008,080",2016
 Bhutan,162,"126,501",2022
 Tonga,158,"16,717",2018
 India,158,"210,023,289",2015
 Bolivia,153,"1,711,005",2016
 Venezuela,149,"4,235,000",2020
 Namibia,148,"418,292",2017
 Ecuador,143,"2,535,853",2021
 Fiji,142,"130,000",2020
 Myanmar,132,"7,138,410",2022
 Cape Verde,127,"64,955",2016
 Greenland (Denmark),126,"7,054",2023
 Samoa,124,"25,235",2016
 Hong Kong (China),124,"925,171",2022
 Philippines,122,"13,889,136",2022
 Pakistan,121,"30,000,000",2023
 Morocco,113,"4,120,000",2020
 Burkina Faso,112,"2,106,292",2015
 Iraq,112,"4,715,000",2020
 Micronesia,99,"11,014",2020
 Zimbabwe,91,"1,467,955",2022
 Uzbekistan,87,"3,051,734",2022
 Egypt,87,"9,950,000",2023
   Nepal,84,"2,339,169",2015
 Gambia,78,"200,000",2021
 Chad,74,"1,124,000",2016
 Ghana,70,"2,066,943",2016
 Kenya,62,"2,979,910",2016
 Nigeria,59,"13,500,000",2021
 Palestine,59,"268,365",2015
 Cuba,56,"633,369",2016
 Afghanistan,55,"2,342,543",2024
 Tajikistan,50,"439,972",2016
 Comoros,47,"34,898",2016
 Zambia,45,"853,909",2020
 Vietnam,43,"4,180,480",2020
 Uganda,41,"1,594,962",2016
 Sierra Leone,41,"300,000",2017
 Tanzania,40,"2,163,623",2016
 Benin,40,"469,761",2016
 Djibouti,35,"40,000",2022
 Ivory Coast,35,"905,537",2016
 Bangladesh,34,"5,982,765",2024
 Guinea-Bissau,34,"62,239",2016
 Cameroon,32,"758,145",2016
 Senegal,32,"468,051",2015
 Kiribati,31,"3,706",2017
 Sudan,30,"1,252,740",2016
 Mozambique,26,"698,864",2016
 Indonesia,23,"6,537,000",2023
 Eritrea,23,"72,405",2016
 Guinea,22,"259,731",2016
 Cambodia,21,"370,000",2023
 Niger,21,"436,420",2016
 Solomon Islands,21,"11,000",2010
 Rwanda,20,"264,524",2020
 Mali,19,"344,345",2015
 Papua New Guinea,11,"100,993",2016
 Ethiopia,10,"1,200,110",2020
 Burundi,9.7,"111,236",2017
 Madagascar,9.3,"236,979",2015
 Togo,8.2,"64,118",2016
 Central African Republic,8.1,"37,475",2014
 Somalia,4.5,"59,457",2014
 North Korea,1.1,"30,000",2024
