Country,location_name,latitude,longitude,last_updated,temperature_celsius,precip_mm,humidity,air_quality_PM2.5,air_quality_PM10
Afghanistan,Kabul,34.52,69.18,2023/8/29 14:00,28.8,0,19,7.9,11.1
Albania,Tirana,41.33,19.82,2023/8/29 11:30,27,0,54,28.2,29.6
Algeria,Algiers,36.76,3.05,2023/8/29 10:30,28,0,30,6.4,7.9
Andorra,Andorra La Vella,42.5,1.52,2023/8/29 11:30,10.2,0,51,0.5,0.8
Angola,Luanda,-8.84,13.23,2023/8/29 10:30,25,0,69,139.6,203.3
Antigua and Barbuda,Saint John's,17.12,-61.85,2023/8/29 5:30,29,0.3,79,0.8,1.9
Argentina,Buenos Aires,-34.59,-58.67,2023/8/29 6:30,9,0,71,2.1,3.5
Armenia,Yerevan,40.18,44.51,2023/8/29 13:30,31,0,26,5,6.2
Australia,Canberra,-35.28,149.22,2023/8/29 19:30,13,0,62,4,5.8
Austria,Vienna,48.2,16.37,2023/8/29 11:30,16,0,82,13.1,14.9
Azerbaijan,Baku,40.4,49.88,2023/8/29 13:30,31,0,36,5.6,6.8
Bahamas,Nassau,25.08,-77.35,2023/8/29 5:30,29.8,0,80,1.4,2.1
Bahrain,Manama,26.24,50.58,2023/8/29 12:30,38,0,54,69.3,152.9
Bangladesh,Dhaka,23.72,90.41,2023/8/29 15:30,34,0,52,84.8,95.6
Barbados,Bridgetown,13.1,-59.62,2023/8/29 5:30,27,0.4,89,1.6,3.5
Belarus,Minsk,53.9,27.57,2023/8/29 12:30,22,0,61,2.1,2.3
Belgium,Brussels,50.83,4.33,2023/8/29 11:30,16,0,82,16.6,19.6
Belize,Belmopan,17.25,-88.77,2023/8/29 3:30,23.6,0.7,95,2.8,2.9
Benin,Porto-Novo,6.48,2.62,2023/8/29 10:30,28,0,84,13.4,23.1
Bhutan,Thimphu,27.48,89.6,2023/8/29 15:30,17.1,1.3,75,7.3,7.6
Bolivia,Sucre,-19.04,-65.26,2023/8/29 5:30,10.8,0,38,3.2,12.3
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/8/29 11:30,23,0,47,8.4,8.8
Botswana,Gaborone,-24.65,25.91,2023/8/29 11:30,18.4,0,35,17.4,19.9
Brazil,Bras,-2.08,-58.17,2023/8/29 5:30,23.8,0,54,2.4,3.8
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/8/29 17:30,31,0.4,79,2.1,2.8
Bulgaria,Sofia,42.68,23.32,2023/8/29 12:30,28,0.1,40,9.2,11.3
Burkina Faso,Ouagadougou,12.37,-1.52,2023/8/29 9:30,28,0,79,18.4,35.4
Burundi,Bujumbura,-3.38,29.36,2023/8/29 11:30,28.9,0,34,7.2,16.1
Madagascar,Ivory,-24.37,46.45,2023/8/29 12:30,22.9,0,35,1.2,3.4
Cape Verde,Praia,14.93,-23.51,2023/8/29 8:30,28,0,74,29,158.9
Cambodia,Phnom Penh,11.55,104.92,2023/8/29 16:30,30,0,75,2,5.3
Cameroon,Bafoussam,5.47,10.42,2023/8/29 10:30,23.9,0.8,78,20.5,30
Canada,Ottawa,45.42,-75.7,2023/8/29 5:30,11,0,100,3.7,4.1
Central African Republic,Bangui,4.37,18.58,2023/8/29 10:30,26.3,0,80,0.5,0.8
Chad,N'djamena,12.11,15.05,2023/8/29 10:30,32,0,67,9.5,13.3
Chile,Santiago,-33.45,-70.67,2023/8/29 5:30,5,0,87,496.2,596.9
China,Beijing,39.93,116.39,2023/8/29 17:30,28,0,37,26.2,34.3
Bulgaria,Bogot,43.32,24.7,2023/8/29 12:30,36.4,0,17,4.4,5.3
Comoros,Moroni,-11.7,43.24,2023/8/29 12:30,24,3,83,6.9,11.1
Congo,Brazzaville,-4.26,15.28,2023/8/29 10:30,31.1,0,51,7.8,22.3
Costa Rica,San Juan,9.97,-84.08,2023/8/29 3:30,21,0,94,44.3,44.9
Croatia,Zagreb,45.8,16,2023/8/29 11:30,23,0,69,7.2,8
Cuba,Havana,23.13,-82.36,2023/8/29 5:30,26,0,100,2.6,3.1
Cyprus,Nicosia,35.17,33.37,2023/8/29 12:30,35,0,35,13,23.1
Czech Republic,Prague,50.08,14.47,2023/8/29 11:30,13,0.1,94,3,3.8
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/8/29 10:30,31.1,0,50,7.8,22.3
Denmark,Copenhagen,55.67,12.58,2023/8/29 11:30,17,0,72,1.2,2.4
Djibouti,Djibouti,11.6,43.15,2023/8/29 12:30,42,0,29,9.2,20.9
Dominica,Roseau,15.3,-61.4,2023/8/29 5:30,28.2,0.6,79,1.1,2.1
Dominican Republic,Santo Domingo,18.47,-69.9,2023/8/29 5:30,26,0,94,15.3,23.6
Ecuador,Quito,-0.22,-78.5,2023/8/29 4:30,8.9,0,62,17.5,20.7
Egypt,Cairo,30.05,31.25,2023/8/29 12:30,31,0,46,39,55.9
El Salvador,San Salvador,13.71,-89.2,2023/8/29 3:30,26,0,94,17.1,22.1
Equatorial Guinea,Malabo,3.75,8.78,2023/8/29 10:30,25.9,2,81,2.7,3.1
Eritrea,Asmara,15.33,38.93,2023/8/29 12:30,25.1,0.1,34,10.4,31.1
Estonia,Tallinn,59.43,24.73,2023/8/29 12:30,19,0,73,3.1,3.2
Swaziland,Mbabane,-26.32,31.13,2023/8/29 11:30,20,0,49,16.3,21.8
Ethiopia,Addis Ababa,9.03,38.7,2023/8/29 12:30,17,2.7,83,15.7,109.3
Fiji Islands,Suva,-18.13,178.42,2023/8/29 21:30,24,0.1,78,1.5,6.3
Finland,Helsinki,60.18,24.93,2023/8/29 12:30,20,0,64,4,5
France,Paris,48.87,2.33,2023/8/29 11:30,18,0,64,6,7.4
Gabon,Libreville,0.38,9.45,2023/8/29 10:30,27,0.2,74,6.8,10.3
Gambia,Banjul,13.45,-16.58,2023/8/29 9:30,27,0.7,94,1.2,2.4
Georgia,Tbilisi,41.73,44.79,2023/8/29 13:30,30,0,43,4.5,5
Germany,Berlin,52.52,13.4,2023/8/29 11:30,16,0.3,82,5.1,5.5
Ghana,Accra,5.55,-0.22,2023/8/29 9:30,26,0,89,5.8,13.8
Greece,Athens,37.98,23.72,2023/8/29 12:30,32,0,26,23.4,26.6
Grenada,Saint George's,12.05,-61.75,2023/8/29 5:30,26,0.4,94,1.4,3.7
Guatemala,Guatemala City,14.62,-90.53,2023/8/29 3:30,17,0,96,93.4,106.8
Guinea,Conakry,9.51,-13.71,2023/8/29 9:30,25,2.5,100,0.6,17
Guinea-Bissau,Bissau,11.85,-15.58,2023/8/29 9:30,28,0.5,84,1.4,2.4
Guyana,Georgetown,6.8,-58.17,2023/8/29 5:30,24,1.8,100,0.8,1.3
Haiti,Port-Au-Prince,18.54,-72.34,2023/8/29 5:30,27,0,89,6.9,14.9
Vatican City,Vatican City,41.9,12.45,2023/8/29 11:30,21,0.9,88,3.4,9.5
Honduras,Tegucigalpa,14.1,-87.22,2023/8/29 3:30,21,0,88,1.1,2.4
Hungary,Budapest,47.5,19.08,2023/8/29 11:30,20,0.1,88,13.9,16.2
Iceland,Hella,63.83,-20.4,2023/8/29 9:30,11,0,82,0.6,2.9
India,New Delhi,28.6,77.2,2023/8/29 15:00,34,0,50,33.2,131.3
Indonesia,Jakarta,-6.21,106.85,2023/8/29 16:30,31,0,63,107,132.5
Iran,Tehran,35.73,51.33,2023/8/29 13:00,33,0,15,24.1,93.3
Iraq,Baghdad,33.34,44.39,2023/8/29 12:30,37,0,24,22.1,63.2
Ireland,Dublin,53.33,-6.25,2023/8/29 10:30,14,0,88,2.1,3.2
Israel,Jerusalem,31.78,35.23,2023/8/29 12:30,30,0,62,13.6,21.7
Italy,Rome,41.9,12.48,2023/8/29 11:30,21,0.9,88,3.4,9.5
Jamaica,Norman Gardens,17.97,-76.75,2023/8/29 4:30,30,0,84,3.1,4.8
Japan,Tokyo,35.69,139.69,2023/8/29 18:30,32,0,59,6.6,11.7
Jordan,Amman,31.95,35.93,2023/8/29 12:30,27,0,51,15.2,25.9
Kazakhstan,Astana,51.18,71.43,2023/8/29 15:30,22,0,29,3.1,6.9
Kenya,Nairobi,-1.28,36.82,2023/8/29 12:30,21,0,43,8.5,21.1
Kiribati,Tarawa,-0.88,169.53,2023/8/29 21:30,28.9,0.2,77,0.5,1.9
Kuwait,Kuwait City,29.37,47.96,2023/8/29 12:30,39.6,0,23,45.7,122.6
Kyrghyzstan,Bishkek,42.87,74.6,2023/8/29 15:30,27.4,0,20,2,3
Indonesia,Laos,-8.18,114.32,2023/8/29 16:30,27.9,0,60,11.7,21.7
Latvia,Riga,56.95,24.1,2023/8/29 12:30,16,0,94,4.3,4.7
Lebanon,Beirut,33.87,35.51,2023/8/29 12:45,30,0,62,15.8,31.5
Lesotho,Maseru,-29.32,27.48,2023/8/29 11:45,18.9,0,15,69.6,77.6
Liberia,Monrovia,6.31,-10.8,2023/8/29 9:45,25,1.3,94,2.8,3.7
Thailand,Nan,18.78,100.78,2023/8/29 16:45,33,4.8,63,8.3,9.2
Liechtenstein,Vaduz,47.13,9.52,2023/8/29 11:45,12,0.2,100,4.3,4.6
Lithuania,Vilnius,54.68,25.32,2023/8/29 12:30,17,0.1,94,3.6,4.3
Luxembourg,Luxembourg,49.61,6.13,2023/8/29 11:45,16,0.1,77,4.9,5.8
Madagascar,Antananarivo,-18.92,47.52,2023/8/29 12:45,21,0.2,56,1.8,3.6
Malawi,Lilongwe,-13.98,33.78,2023/8/29 11:45,18,0,88,2.2,3.9
Malaysia,Kuala Lumpur,3.17,101.7,2023/8/29 17:45,27,1.4,89,126.8,141.1
Maldives,Farukolhufunadhoo,6.15,73.27,2023/8/29 14:30,25.3,9.4,87,0.5,0.9
Mali,Bamako,12.65,-8,2023/8/29 9:45,23,2.3,100,4.3,6.9
Malta,Valletta,35.9,14.51,2023/8/29 11:30,28,0,42,3.3,12.9
Marshall Islands,Majuro,7.1,171.38,2023/8/29 21:45,29,0,75,1,2.6
Mauritania,Nouakchott,18.09,-15.98,2023/8/29 9:45,28.6,0,70,15.9,46.5
Mauritius,Port Louis,-20.16,57.5,2023/8/29 13:30,26,0,70,6.9,10.4
Mexico,Mexico City,19.43,-99.13,2023/8/29 3:45,16,0,77,15.5,23.6
Micronesia,Palikir,6.92,158.15,2023/8/29 20:45,26,0.3,100,0.5,0.7
Russia,Chi-Chi-Erh,51.7,94.45,2023/8/29 16:45,36.5,0,12,4.6,18.2
Monaco,Monaco,43.73,7.42,2023/8/29 11:45,22,0,73,0.8,1.2
Mongolia,Ulaanbaatar,47.92,106.92,2023/8/29 17:30,26,0,32,28.9,32.9
Montenegro,Podgorica,42.44,19.26,2023/8/29 11:45,25,0.3,65,11.9,12.1
Morocco,Rabat,34.03,-6.84,2023/8/29 10:30,24,0,78,8,23.9
Mozambique,Maputo,-25.97,32.59,2023/8/29 11:45,21,0.1,64,8.6,18.3
Myanmar,Pathein,16.78,94.73,2023/8/29 16:15,30,0,68,4,4.4
Namibia,Windhoek,-22.57,17.08,2023/8/29 11:45,20,0,43,22.4,31.8
Turkey,Yaren,39.55,27.62,2023/8/29 12:45,28,0,55,10.3,12
Nepal,Kathmandu,27.72,85.32,2023/8/29 15:30,28,0.5,58,32.3,35.2
Netherlands,Amsterdam,52.37,4.89,2023/8/29 11:30,19,0,73,5.7,7.2
New Zealand,Wellington,-41.3,174.78,2023/8/29 21:30,9,0,81,0.5,1.6
Nicaragua,Managua,12.15,-86.27,2023/8/29 3:45,25,0,100,22.7,24.4
Niger,Niamey,13.52,2.12,2023/8/29 10:45,30,0,62,5,8
Nigeria,Abuja,9.18,7.18,2023/8/29 10:45,28,0,74,8.8,11.6
North Korea,Pyongyang,39.02,125.75,2023/8/29 18:45,22,0.1,88,17.2,19
Macedonia,Skopje,42,21.43,2023/8/29 11:30,30,0,43,25.2,29.4
Norway,Oslo,59.92,10.75,2023/8/29 11:30,12,0,94,5.3,6.4
Oman,Muscat,23.61,58.59,2023/8/29 13:45,33,0,80,38.2,150.3
Pakistan,Islamabad,33.7,73.17,2023/8/29 14:45,31.9,0,45,88.4,94.5
Palau,Adkip,7.36,134.51,2023/8/29 18:45,29,0,84,1.9,5.4
Bolivia,National,-11.18,-67.08,2023/8/29 5:45,22.5,0,57,51.3,51.5
Panama,Panama City,8.97,-79.53,2023/8/29 4:30,27,0.6,89,5.9,7.9
Papua New Guinea,Port Moresby,-9.46,147.19,2023/8/29 19:45,24.4,0,80,5.9,16.7
Paraguay,Carreria,-21.55,-58.12,2023/8/29 5:45,22.8,0,40,5.2,5.5
Peru,Lima,-12.05,-77.05,2023/8/29 4:30,16.2,0,86,13.2,30.7
Philippines,Manila,14.6,120.98,2023/8/29 17:45,27,0.7,89,1.2,4.1
Poland,Warsaw,52.25,21,2023/8/29 11:45,22,0,83,1.9,2.4
Portugal,Lisbon,38.72,-9.13,2023/8/29 10:30,21,0,69,4.6,8.9
Qatar,Doha,25.29,51.53,2023/8/29 12:45,38,0,54,46.1,101.1
Romania,Bucharest,44.43,26.1,2023/8/29 12:30,35,0,32,5.8,6.7
Russia,Moscow,55.75,37.62,2023/8/29 12:30,16,0,68,4.5,6.3
Rwanda,Kigali,-1.95,30.06,2023/8/29 11:45,26,0,34,2.5,4
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2023/8/29 5:45,28,0,84,1.2,3.2
Saint Lucia,Castries,14,-61,2023/8/29 5:45,27,0.4,89,2.3,6
